GENESIS-Tabelle: 45213-0004
Umsatz im Gastgewerbe (real/nominal) (Messzahlen und;;;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;;;
Wirtschaftszweige;;;;;;;
Monatsstatistik im Gastgewerbe;;;;;;;
Deutschland;;;;;;;
;;;;Preisarten;Preisarten;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen;in jeweiligen Preisen;in jeweiligen Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%);2015=100;in (%)
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;Januar;88,6;-3,3;61,3;-2,1
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;Februar;94,8;-2,1;66,3;-0,9
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;März;109,3;-2,8;75,6;-2,2
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;April;110,7;-1,8;77,0;-2,9
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;Mai;131,8;-6,1;93,1;-5,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;Juni;124,4;-2,8;89,2;-2,0
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;Juli;113,7;-3,8;85,1;-2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;August;121,2;-0,6;90,4;+0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;September;139,5;-2,2;99,6;-1,3
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;Oktober;133,4;-4,2;95,6;-2,8
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;November;105,1;-1,5;72,5;-0,1
WZ08-551;Hotels, Gasthöfe und Pensionen;1996;Dezember;106,3;-3,3;74,3;-0,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;Januar;88,3;-0,3;61,6;+0,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;Februar;89,9;-5,2;63,9;-3,6
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;März;104,6;-4,3;73,6;-2,6
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;April;108,8;-1,7;76,2;-1,0
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;Mai;125,0;-5,2;89,2;-4,2
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;Juni;125,5;+0,9;90,6;+1,6
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;Juli;111,0;-2,4;83,8;-1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;August;119,9;-1,1;89,9;-0,6
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;September;141,7;+1,6;101,8;+2,2
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;Oktober;133,8;+0,3;95,6;-
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;November;103,6;-1,4;72,4;-0,1
WZ08-551;Hotels, Gasthöfe und Pensionen;1997;Dezember;107,4;+1,0;75,7;+1,9
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;Januar;87,1;-1,4;61,5;-0,2
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;Februar;93,0;+3,4;66,3;+3,8
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;März;104,8;+0,2;73,9;+0,4
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;April;103,5;-4,9;74,3;-2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;Mai;128,8;+3,0;92,8;+4,0
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;Juni;122,4;-2,5;89,2;-1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;Juli;110,5;-0,5;84,1;+0,4
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;August;117,5;-2,0;89,6;-0,3
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;September;136,8;-3,5;99,3;-2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;Oktober;130,4;-2,5;94,4;-1,3
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;November;102,5;-1,1;72,6;+0,3
WZ08-551;Hotels, Gasthöfe und Pensionen;1998;Dezember;107,3;-0,1;76,4;+0,9
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;Januar;91,6;+5,2;65,1;+5,9
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;Februar;93,4;+0,4;67,3;+1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;März;106,2;+1,3;75,6;+2,3
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;April;105,5;+1,9;76,0;+2,3
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;Mai;127,4;-1,1;93,0;+0,2
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;Juni;121,6;-0,7;89,6;+0,4
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;Juli;113,3;+2,5;87,0;+3,4
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;August;118,3;+0,7;91,6;+2,2
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;September;139,6;+2,0;102,1;+2,8
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;Oktober;132,9;+1,9;96,9;+2,6
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;November;109,7;+7,0;77,9;+7,3
WZ08-551;Hotels, Gasthöfe und Pensionen;1999;Dezember;111,8;+4,2;80,5;+5,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;Januar;92,9;+1,4;66,4;+2,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;Februar;100,4;+7,5;72,6;+7,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;März;110,0;+3,6;79,1;+4,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;April;111,0;+5,2;79,9;+5,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;Mai;140,4;+10,2;101,3;+8,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;Juni;134,3;+10,4;97,7;+9,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;Juli;127,6;+12,6;93,5;+7,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;August;131,9;+11,5;96,6;+5,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;September;153,7;+10,1;111,6;+9,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;Oktober;141,1;+6,2;102,1;+5,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;November;112,7;+2,7;81,0;+4,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2000;Dezember;112,7;+0,8;83,7;+4,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;Januar;97,5;+5,0;70,5;+6,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;Februar;96,2;-4,2;70,4;-3,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;März;113,6;+3,3;82,5;+4,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;April;112,1;+1,0;81,9;+2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;Mai;137,2;-2,3;100,5;-0,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;Juni;130,7;-2,7;96,4;-1,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;Juli;126,7;-0,7;94,3;+0,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;August;129,3;-2,0;96,5;-0,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;September;142,9;-7,0;105,8;-5,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;Oktober;135,8;-3,8;100,3;-1,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;November;110,9;-1,6;81,6;+0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2001;Dezember;108,0;-4,2;82,3;-1,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;Januar;92,6;-5,0;69,8;-1,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;Februar;93,7;-2,6;71,3;+1,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;März;105,1;-7,5;79,9;-3,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;April;111,1;-0,9;84,3;+2,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;Mai;122,6;-10,6;93,7;-6,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;Juni;123,1;-5,8;94,0;-2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;Juli;117,5;-7,3;91,0;-3,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;August;120,7;-6,7;93,4;-3,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;September;135,4;-5,2;104,1;-1,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;Oktober;123,9;-8,8;94,8;-5,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;November;100,7;-9,2;76,8;-5,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2002;Dezember;96,8;-10,4;76,2;-7,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;Januar;82,7;-10,7;63,5;-9,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;Februar;84,9;-9,4;65,7;-7,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;März;96,7;-8,0;74,6;-6,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;April;96,5;-13,1;74,6;-11,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;Mai;117,7;-4,0;91,0;-2,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;Juni;113,0;-8,2;87,5;-6,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;Juli;106,3;-9,5;82,8;-9,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;August;109,2;-9,5;85,3;-8,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;September;124,0;-8,4;96,8;-7,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;Oktober;118,5;-4,4;92,2;-2,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;November;96,0;-4,7;74,0;-3,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2003;Dezember;95,0;-1,9;75,6;-0,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;Januar;78,7;-4,8;60,9;-4,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;Februar;85,4;+0,6;66,6;+1,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;März;97,4;+0,7;75,6;+1,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;April;99,4;+3,0;77,3;+3,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;Mai;121,0;+2,8;94,2;+3,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;Juni;111,5;-1,3;87,0;-0,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;Juli;108,3;+1,9;85,1;+2,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;August;109,4;+0,2;85,9;+0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;September;126,6;+2,1;99,5;+2,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;Oktober;119,1;+0,5;92,9;+0,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;November;95,4;-0,6;73,9;-0,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2004;Dezember;93,3;-1,8;74,9;-0,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;Januar;77,7;-1,3;63,9;+4,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;Februar;80,4;-5,9;65,1;-2,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;März;89,4;-8,2;73,2;-3,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;April;99,0;-0,4;80,3;+3,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;Mai;111,5;-7,9;89,9;-4,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;Juni;109,2;-2,1;88,9;+2,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;Juli;105,3;-2,8;85,3;+0,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;August;109,2;-0,2;88,3;+2,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;September;124,8;-1,4;102,2;+2,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;Oktober;116,0;-2,6;94,2;+1,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;November;91,1;-4,5;74,3;+0,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2005;Dezember;95,9;+2,8;77,5;+3,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;Januar;79,2;+1,9;64,3;+0,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;Februar;81,4;+1,2;65,6;+0,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;März;92,9;+3,9;75,6;+3,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;April;96,6;-2,4;78,0;-2,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;Mai;118,2;+6,0;96,8;+7,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;Juni;113,6;+4,0;97,0;+9,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;Juli;112,3;+6,6;92,6;+8,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;August;108,4;-0,7;88,8;+0,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;September;128,7;+3,1;107,8;+5,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;Oktober;118,4;+2,1;97,2;+3,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;November;90,7;-0,4;78,6;+5,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2006;Dezember;99,8;+4,1;82,3;+6,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;Januar;79,4;+0,3;64,5;+0,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;Februar;82,6;+1,5;67,1;+2,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;März;97,4;+4,8;80,3;+6,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;April;101,0;+4,6;82,5;+5,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;Mai;115,2;-2,5;94,2;-2,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;Juni;111,6;-1,8;94,0;-3,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;Juli;109,5;-2,5;89,8;-3,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;August;111,7;+3,0;91,4;+2,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;September;124,3;-3,4;106,2;-1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;Oktober;121,2;+2,4;100,2;+3,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;November;96,1;+6,0;81,9;+4,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2007;Dezember;100,4;+0,6;83,0;+0,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;Januar;81,1;+2,1;66,7;+3,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;Februar;87,1;+5,4;72,5;+8,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;März;90,2;-7,4;76,4;-4,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;April;101,5;+0,5;85,5;+3,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;Mai;117,3;+1,8;98,2;+4,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;Juni;112,0;+0,4;94,7;+0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;Juli;108,0;-1,4;91,0;+1,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;August;109,9;-1,6;92,2;+0,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;September;122,6;-1,4;106,3;+0,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;Oktober;115,0;-5,1;99,0;-1,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;November;92,8;-3,4;78,5;-4,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2008;Dezember;93,2;-7,2;79,0;-4,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;Januar;70,6;-12,9;61,4;-7,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;Februar;74,5;-14,5;64,2;-11,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;März;84,5;-6,3;72,8;-4,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;April;86,3;-15,0;74,1;-13,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;Mai;104,7;-10,7;90,9;-7,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;Juni;100,0;-10,7;86,2;-9,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;Juli;101,0;-6,5;86,7;-4,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;August;103,8;-5,6;89,0;-3,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;September;112,3;-8,4;97,7;-8,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;Oktober;105,0;-8,7;91,3;-7,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;November;86,6;-6,7;74,6;-5,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2009;Dezember;89,9;-3,5;77,4;-2,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;Januar;68,9;-2,4;62,9;+2,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;Februar;73,7;-1,1;66,8;+4,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;März;83,1;-1,7;75,5;+3,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;April;90,5;+4,9;82,7;+11,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;Mai;100,6;-3,9;92,0;+1,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;Juni;102,0;+2,0;93,1;+8,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;Juli;102,6;+1,6;93,0;+7,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;August;102,3;-1,4;92,8;+4,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;September;116,9;+4,1;107,7;+10,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;Oktober;110,9;+5,6;101,6;+11,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;November;91,3;+5,4;83,1;+11,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2010;Dezember;89,8;-0,1;81,4;+5,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;Januar;73,4;+6,5;66,8;+6,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;Februar;76,5;+3,8;70,0;+4,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;März;88,1;+6,0;80,5;+6,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;April;90,6;+0,1;82,3;-0,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;Mai;110,3;+9,6;102,0;+10,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;Juni;104,7;+2,6;96,4;+3,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;Juli;105,3;+2,6;97,2;+4,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;August;102,1;-0,2;93,7;+1,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;September;116,8;-0,1;109,6;+1,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;Oktober;110,7;-0,2;104,1;+2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;November;92,2;+1,0;85,8;+3,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2011;Dezember;92,9;+3,5;85,5;+5,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;Januar;74,3;+1,2;68,6;+2,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;Februar;79,9;+4,4;73,8;+5,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;März;91,6;+4,0;85,9;+6,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;April;92,8;+2,4;86,3;+4,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;Mai;111,4;+1,0;104,6;+2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;Juni;107,1;+2,3;101,2;+5,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;Juli;105,6;+0,3;98,3;+1,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;August;108,2;+6,0;100,5;+7,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;September;120,2;+2,9;115,2;+5,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;Oktober;109,7;-0,9;104,0;-0,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;November;92,8;+0,7;87,2;+1,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2012;Dezember;93,0;+0,1;86,6;+1,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;Januar;75,2;+1,2;71,0;+3,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;Februar;77,7;-2,8;73,4;-0,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;März;88,2;-3,7;84,2;-2,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;April;95,4;+2,8;91,0;+5,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;Mai;102,4;-8,1;97,4;-6,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;Juni;105,1;-1,9;101,5;+0,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;Juli;104,9;-0,7;100,0;+1,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;August;108,4;+0,2;103,2;+2,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;September;116,8;-2,8;114,1;-1,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;Oktober;112,8;+2,8;109,0;+4,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;November;91,9;-1,0;88,5;+1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2013;Dezember;90,9;-2,3;86,9;+0,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;Januar;74,8;-0,5;71,8;+1,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;Februar;76,2;-1,9;73,9;+0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;März;87,8;-0,5;85,5;+1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;April;89,9;-5,8;86,9;-4,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;Mai;111,8;+9,2;109,4;+12,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;Juni;105,5;+0,4;103,4;+1,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;Juli;106,7;+1,7;104,0;+4,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;August;110,3;+1,8;107,3;+4,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;September;121,8;+4,3;121,2;+6,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;Oktober;112,8;-;112,5;+3,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;November;94,7;+3,0;93,6;+5,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2014;Dezember;92,5;+1,8;90,8;+4,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;Januar;75,2;+0,5;74,0;+3,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;Februar;78,6;+3,1;77,8;+5,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;März;89,4;+1,8;89,3;+4,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;April;91,5;+1,8;91,6;+5,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;Mai;108,8;-2,7;108,6;-0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;Juni;112,4;+6,5;113,0;+9,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;Juli;109,6;+2,7;108,8;+4,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;August;112,3;+1,8;111,1;+3,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;September;119,9;-1,6;121,8;+0,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;Oktober;113,6;+0,7;115,1;+2,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;November;95,1;+0,4;95,2;+1,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2015;Dezember;93,6;+1,2;93,6;+3,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;Januar;77,1;+2,5;77,2;+4,3
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;Februar;82,2;+4,6;82,2;+5,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;März;92,7;+3,7;93,2;+4,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;April;100,4;+9,7;101,6;+10,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;Mai;108,1;-0,6;110,2;+1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;Juni;111,2;-1,1;113,8;+0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;Juli;111,8;+2,0;113,3;+4,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;August;110,8;-1,3;112,1;+0,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;September;126,4;+5,4;131,5;+8,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;Oktober;115,7;+1,8;119,0;+3,4
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;November;96,5;+1,5;98,7;+3,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2016;Dezember;95,9;+2,5;97,5;+4,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;Januar;79,1;+2,6;80,2;+3,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;Februar;80,8;-1,7;82,6;+0,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;März;98,2;+5,9;100,5;+7,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;April;96,5;-3,9;98,7;-2,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;Mai;117,1;+8,3;121,2;+10,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;Juni;110,0;-1,1;114,5;+0,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;Juli;112,5;+0,6;117,5;+3,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;August;108,6;-2,0;112,9;+0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;September;125,5;-0,7;132,7;+0,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;Oktober;116,2;+0,4;122,0;+2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;November;97,4;+0,9;101,8;+3,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2017;Dezember;99,2;+3,4;103,3;+5,9
WZ08-551;Hotels, Gasthöfe und Pensionen;2018;Januar;81,1;+2,5;84,2;+5,0
WZ08-551;Hotels, Gasthöfe und Pensionen;2018;Februar;83,1;+2,8;86,6;+4,8
WZ08-551;Hotels, Gasthöfe und Pensionen;2018;März;95,4;-2,9;99,9;-0,6
WZ08-551;Hotels, Gasthöfe und Pensionen;2018;April;103,3;+7,0;108,8;+10,2
WZ08-551;Hotels, Gasthöfe und Pensionen;2018;Mai;108,8;-7,1;115,0;-5,1
WZ08-551;Hotels, Gasthöfe und Pensionen;2018;Juni;115,3;+4,8;123,3;+7,7
WZ08-551;Hotels, Gasthöfe und Pensionen;2018;Juli;113,7;+1,1;120,4;+2,5
WZ08-551;Hotels, Gasthöfe und Pensionen;2018;August;113,4;+4,4;119,7;+6,0
